ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13214907,JG429451,4/1/2022 10:00,056XX S HARLEM AVE,1120,DECEPTIVE PRACTICE,FORGERY,BANK,False,False,811,8,13.0,56,10,,,2022,9/19/2023 15:42,,,
13214586,JG429110,8/27/2022 9:00,014XX W WINONA ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,OTHER (SPECIFY),False,False,2033,20,47.0,3,11,,,2022,9/19/2023 15:42,,,
13214864,JG429366,6/27/2022 8:00,019XX S RACINE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1235,12,25.0,31,11,,,2022,9/19/2023 15:42,,,
12628303,JF156765,2/7/2022 5:13,061XX N HAMILTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,2413,24,40.0,2,08A,,,2022,2/27/2022 15:40,,,
13214557,JG428772,12/29/2022 8:00,002XX E ONTARIO ST,1120,DECEPTIVE PRACTICE,FORGERY,HOTEL / MOTEL,False,False,1834,18,2.0,8,10,1177988.0,1904540.0,2022,11/15/2023 15:41,41.89337738,-87.62175924,"(41.893377378, -87.621759238)"
13207729,JG420686,12/1/2022 0:00,015XX W 61ST ST,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,True,True,713,7,16.0,67,2,1167234.0,1864280.0,2022,2/15/2024 15:40,41.78313798,-87.66240953,"(41.783137976, -87.662409526)"
12676226,JF182188,3/21/2022 0:00,067XX S ROCKWELL ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,832,8,16.0,66,26,1160200.0,1859965.0,2022,9/20/2023 15:41,41.77144472,-87.68831724,"(41.771444724, -87.68831724)"
12792072,JF354522,8/12/2022 12:00,032XX N DAMEN AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,True,False,1922,19,32.0,5,5,1162437.0,1921720.0,2022,9/20/2023 15:41,41.94086017,-87.6783904,"(41.940860174, -87.678390398)"
12818444,JF384876,8/29/2022 0:00,029XX W 66TH ST,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,831,8,15.0,66,17,1158061.0,1860735.0,2022,9/20/2023 15:41,41.77360147,-87.69613723,"(41.773601472, -87.696137229)"
12616294,JF142268,2/12/2022 12:46,054XX S LOOMIS BLVD,031A,ROBBERY,ARMED - HANDGUN,STREET,True,False,934,9,20.0,61,3,1167920.0,1868745.0,2022,11/13/2023 15:41,41.79537575,-87.65976617,"(41.795375753, -87.659766174)"
12916441,JF502607,12/8/2022 11:05,001XX W MADISON ST,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,True,False,122,1,34.0,32,04B,1175437.0,1900364.0,2022,12/29/2023 15:40,41.88197587,-87.63125352,"(41.881975873, -87.631253523)"
12650349,JF169860,3/10/2022 21:33,008XX W 63RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,False,False,712,7,16.0,68,15,,,2022,9/20/2023 15:42,,,
13216176,JG430077,11/1/2022 14:25,118XX S PRINCETON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,522,5,21.0,53,11,,,2022,9/20/2023 15:42,,,
13216030,JG431011,12/30/2022 14:00,008XX W ADDISON ST,560,ASSAULT,SIMPLE,RESIDENCE,False,True,1923,19,44.0,6,08A,1169826.0,1924123.0,2022,11/15/2023 15:41,41.94729598,-87.65116297,"(41.947295978, -87.651162974)"
13074510,JF404118,9/20/2022 17:43,001XX W HARRISON ST,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,SIDEWALK,True,False,123,1,34.0,32,18,,,2022,9/23/2023 15:41,,,
13216599,JG431432,9/17/2022 12:00,115XX S ABERDEEN ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,524,5,21.0,53,11,,,2022,9/20/2023 15:42,,,
12724953,JF273696,6/9/2022 16:50,056XX W DAKIN ST,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,ALLEY,False,False,1633,16,38.0,15,17,1138097.0,1925689.0,2022,9/21/2023 15:41,41.95222696,-87.76775354,"(41.95222696, -87.767753538)"
12730088,JF279877,6/14/2022 19:39,001XX W MARBLE PL,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,ALLEY,True,False,122,1,34.0,32,3,1175449.0,1899665.0,2022,9/21/2023 15:41,41.88005751,-87.63123046,"(41.880057507, -87.631230458)"
12788789,JF350313,8/9/2022 12:20,110XX S ASHLAND AVE,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,True,False,2234,22,21.0,75,08B,1167645.0,1831206.0,2022,9/21/2023 15:41,41.69236932,-87.66184878,"(41.692369315, -87.661848781)"
12646302,JF175150,3/11/2022 14:10,105XX S MORGAN ST,266,CRIMINAL SEXUAL ASSAULT,PREDATORY,STREET,False,False,2232,22,21.0,73,2,1171519.0,1834893.0,2022,9/29/2023 15:41,41.70240327,-87.64755796,"(41.702403273, -87.647557963)"
12938108,JF528867,12/29/2022 15:00,068XX S PULASKI RD,810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,833,8,23.0,65,6,1150875.0,1859126.0,2022,9/21/2023 15:41,41.7693292,-87.72252173,"(41.769329199, -87.722521726)"
12628296,JF156473,2/5/2022 16:02,019XX S Drake Ave,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,1024,10,24.0,29,6,,,2022,2/27/2022 15:40,,,
13106514,JF479699,11/17/2022 18:40,033XX W FILLMORE ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,POLICE FACILITY / VEHICLE PARKING LOT,False,False,1134,11,24.0,29,15,1154228.0,1895173.0,2022,11/15/2023 15:41,41.86818094,-87.70927139,"(41.868180939, -87.709271389)"
13216644,JG431580,5/3/2022 9:00,017XX N HALSTED ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,MOVIE HOUSE / THEATER,False,False,1813,18,43.0,7,11,,,2022,9/21/2023 15:42,,,
13216920,JG431918,5/23/2022 9:00,028XX N CLYBOURN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,1931,19,32.0,5,11,,,2022,9/21/2023 15:42,,,
13216648,JG431505,9/1/2022 0:00,078XX S ST LAWRENCE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,624,6,6.0,69,11,,,2022,9/21/2023 15:42,,,
